"GEOID","Row_num","Name","tree_No","tree_Yes","Decision_Tree","forest_No","forest_Yes","Random_Forest","bayes_No","bayes_Yes","Naive_Bayes","new_blocks_xgboost","XGBoost","Agree","Median_Family_Income","Transp_Public_betw2024","Transp_Walked","est_female_25_29","HH_Nonfamily","Transp_Walked_betw1519","Transp_betw2024","HH_Other","HH_Alone","est_male_25_29","CENTLAT","CENTLON"
"170312522023",2240,"Block Group 3, Census Tract 2522.02, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.812,0.188,0,1,5.95289297390207e-39,0,0.0325243808329105,0,0,33810,0,0,45,184,0,35,136,184,81,41.8750452,-87.7422633
"170312909003",2241,"Block Group 3, Census Tract 2909, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.83,0.17,0,1,3.45032073321354e-41,0,0.0231247041374445,0,0,23000,0,0,64,121,0,11,117,104,0,41.8605723,-87.7335667
"170312922003",2242,"Block Group 3, Census Tract 2922, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.824,0.176,0,1,2.17712519144933e-41,0,0.0259557981044054,0,0,41731,0,0,8,77,0,39,105,65,21,41.8564109,-87.7189174
"170312925003",2243,"Block Group 3, Census Tract 2925, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.822,0.178,0,1,3.03207897169711e-41,0,0.03624177724123,0,0,58198,0,10,55,123,0,10,142,102,36,41.8551268,-87.7346822
"170313007003",2244,"Block Group 3, Census Tract 3007, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.724,0.276,0,1,2.13530395889941e-23,0,0.0881259143352509,0,0,71337,0,34,0,52,13,53,82,31,87,41.8471463,-87.7124295
"170313009003",2245,"Block Group 3, Census Tract 3009, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.78,0.22,0,1,1.44797879129574e-39,0,0.0200724024325609,0,0,23913,0,25,0,53,23,0,58,53,79,41.848979,-87.702199
"170310301013",2246,"Block Group 3, Census Tract 301.01, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.726,0.274,0,1,1.13504684494525e-32,0,0.153476312756538,0,0,41648,0,66,86,441,13,99,102,426,70,41.9912095,-87.6568499
"170310301023",2247,"Block Group 3, Census Tract 301.02, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.742,0.258,0,1,2.10022037018177e-33,0,0.0386303551495075,0,0,55781,18,35,85,320,0,18,55,242,102,41.9934691,-87.6565558
"170313017013",2248,"Block Group 3, Census Tract 3017.01, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.808,0.192,0,1,3.98621253422012e-39,0,0.0163969025015831,0,0,27077,0,66,78,60,0,49,108,12,14,41.8424355,-87.7226705
"170313017023",2249,"Block Group 3, Census Tract 3017.02, Cook County, Illinois",0.968036529680365,0.0319634703196347,0,0.796,0.204,0,1,1.31343441185074e-70,0,0.0171472560614347,0,0,43207,0,75,86,57,39,101,145,38,71,41.8390465,-87.7162345
